year,ticker,comname,fieldid,fieldname,value,valuescore
2021,SHOP,SHOPIFY INC.,1,ESGScore,C+,0.4887628302
2021,SHOP,SHOPIFY INC.,92,CarbonOffsetsCredits,4764,
2021,SHOP,SHOPIFY INC.,94,ClimateChangeCommercialRisksOpportunities,false,0.0000000000
2022,SHOP,SHOPIFY INC.,1,ESGScore,C,0.4159131883
2022,SHOP,SHOPIFY INC.,92,CarbonOffsetsCredits,23800,
2022,SHOP,SHOPIFY INC.,94,ClimateChangeCommercialRisksOpportunities,false,0.0000000000
2023,SHOP,SHOPIFY INC.,1,ESGScore,C-,0.3199163838
2023,SHOP,SHOPIFY INC.,92,CarbonOffsetsCredits,20854,
2023,SHOP,SHOPIFY INC.,94,ClimateChangeCommercialRisksOpportunities,false,0.0000000000
2024,SHOP,SHOPIFY INC.,1,ESGScore,C-,0.3107015250
2024,SHOP,SHOPIFY INC.,92,CarbonOffsetsCredits,22525,
2024,SHOP,SHOPIFY INC.,94,ClimateChangeCommercialRisksOpportunities,false,0.0000000000
2018,XOM,EXXON MOBIL CORPORATION,1,ESGScore,A-,0.7514497276
2018,XOM,EXXON MOBIL CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.6980392157
2018,XOM,EXXON MOBIL CORPORATION,99,EmissionReductionTargetPercentage,15,
2018,XOM,EXXON MOBIL CORPORATION,100,EmissionReductionTargetYear,2020,
2019,XOM,EXXON MOBIL CORPORATION,1,ESGScore,A-,0.8239998984
2019,XOM,EXXON MOBIL CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.6431226766
2019,XOM,EXXON MOBIL CORPORATION,99,EmissionReductionTargetPercentage,15,
2019,XOM,EXXON MOBIL CORPORATION,100,EmissionReductionTargetYear,2020,
2020,XOM,EXXON MOBIL CORPORATION,1,ESGScore,A-,0.8306680755
2020,XOM,EXXON MOBIL CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.6043956044
2020,XOM,EXXON MOBIL CORPORATION,99,EmissionReductionTargetPercentage,40,
2020,XOM,EXXON MOBIL CORPORATION,100,EmissionReductionTargetYear,2025,
